Name,Speaker,Display,Japanese,Translation,KR
0_boot_開始スクリプト.nss,,,,,
a0001.nss,,,,,
a0001.nss,,,　毎日は、階段のように過ぎていく。,Life is like a staircase.,매일은 계단처럼 지나간다.
a0001.nss,,,　一度疑問に思ったらその途端、足を上げるのが辛くなる。,You just gotta keep climbing.,"한 번 의문은 품으면, 다리를 들어 올리는 게 힘들어진다."
a0001.nss,,,　だから、一歩、一歩、なにも考えずに、上る。,"Otherwise, if you start to overthink it, you'll have trouble taking the next step.","그러니까 한 발, 한 발, 아무 생각하지 않고 오른다."
a0001.nss,,,　階段だから、別れ道はなく。,There are no branching paths.,"계단이니까 갈림길은 없고,"
a0001.nss,,,　「あの時ああしておけば」なんて後悔は無意味で。,No point in regretting the actions you didn't take.,"'그때 그랬으면' 하는 후회는 무의미하며,"
a0001.nss,,,　「人生は選択の連続だ」なんていうのは、失敗してから振り返って思う、後悔の絞りかすみたいなものだ。,"They say life is a series of choices, but that's nonsense cooked up by the old and bitter.","'인생은 선택의 연속이다' 라는 말은 실패하고 나서야 생각나는, 후회의 찌꺼기 같은 것이다."
a0001.nss,,,　過去の少し先にある、当たり前の明日へ。,"Yesterday leads to today, and today leads to tomorrow.",과거의 조금 앞에 있는 당연한 내일로.
a0001.nss,,,　一歩、一歩、進んでいく。,One step at a time.,"한 걸음, 한 걸음, 나아간다."
a0001.nss,,,　その行き着く先がどんな未来か――,What lies ahead?,그렇게 도달하게 될 미래가 어떤 것일지...
a0001.nss,,,　それは、まだわからないけれど。,You won't know until you get there.,그건 아직 모르겠지만.
a0111.nss,,,,,
a0111.nss,,,　階段から外に出て、目映い夕陽の色が視界を染めた。,"At the top of the staircase, I step outside into the dazzling sunset.","계단을 따라 밖으로 나오자, 눈부신 석양빛이 시야를 물들였다."
a0111.nss,,,　一般生徒は出入りできない、学校の屋上。,This is the school roof. Most students are barred entry.,일반 학생은 출입할 수 없는 학교 옥상.
a0111.nss,,,　見慣れたはずの光景だが、少し時間が遅いだけで、全く違った場所に見える。,"You'd think I'd be used to the view from up here, but evidently a few hours' difference is all it takes to make the world look brand new.","익숙한 광경이었지만, 약간 시간이 지났을 뿐인데 전혀 다른 곳으로 보인다."
a0111.nss,Susuki Shinichi,,「雄太郎、いるのか？」,"""Yuutarou? You up here?""","""유우타로, 있냐?"""
a0111.nss,,,　呼びかけても返答はない。,No response.,불러봐도 대답이 없다.
a0111.nss,,,　静かに秋の風が吹き抜けるだけだ。,The peaceful autumn breeze is all that greets me.,조용히 가을바람이 스쳐 지나갈 뿐이었다.
a0111.nss,,,　コンクリートの継ぎ目に草が生えていて、野ざらしで置いてある机は錆び付いている。,"Grass has sprouted between the cracks in the concrete, and the pile of empty desks on the far side has started to rust after continued exposure to the elements.","콘크리트 사이로 풀이 나 있고, 버려진 책상에는 녹이 슬어있다."
a0111.nss,,,　時の流れから忘れ去られたような場所。,"Up here, it almost feels like a forgotten place lost to time.",시간의 흐름으로부터 잊혀진 듯한 장소.
a0111.nss,,,　俺はこの場所が好きだった。,I love it.,나는 이곳을 좋아한다.
a0111.nss,,,　特に、四方に広がる街の風景がいい。,"Specifically, I love the 360-degree view of the city below.","특히, 사방으로 펼쳐진 마을 풍경이 좋다."
